법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
송파동,한양아파트,119.68,65800,1983,2013-02-27,7,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,91000,1978,2013-02-23,11,석촌역,개통 전
잠실동,트리지움,84.95,82500,2007,2013-02-21,31,석촌역,개통 전
송파동,래미안송파파인탑,71.73,62500,2012,2013-02-16,21,석촌역,개통 전
가락동,시영2,56.17,81000,1982,2013-02-13,5,석촌역,개통 전
가락동,시영2,56.17,81000,1982,2013-02-23,2,석촌역,개통 전
거여동,거여4단지,49.8,30000,1997,2013-02-28,4,석촌역,개통 전
잠실동,리센츠,59.99,70000,2008,2013-02-28,16,석촌역,개통 전
방이동,올림픽선수기자촌2단지,126.18,92000,1988,2013-02-24,11,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,66000,1988,2013-02-25,22,석촌역,개통 전
